owner_org,???? Dataset ID,title,????????????? Domain,????????????????? Sub_Domain,???????????????? Data_Entity,???????????????? Related Hazards,???? Sectors,???????????? Temporal Dimension,???????? Time Period,????? Unit,??????????????????? Temporal Resolution,geo_coverage,?????????????????????? Spatial Resolution,data_format,accessible_condition,url,???????? Limitations / Gaps,???????? Remarks,data_source,???????????????? Source_Type,??????????????? Access_Level (2),???????? Remarks (2),data_type,maintainer,maintainer_email,tag_string,notes,objective,update_frequency_unit,update_frequency_interval,data_category,license_id,created_date,last_updated_date,data_support,data_collect,data_language,high_value_dataset,reference_data
MoPH,MOPH_1_1,??????????????????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Heat (?????????????),,Human Settlement — ???????????,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,??????????: ???????????????? (??????????????????? ??.) - ??????????????????????,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,Historical; Projected,,,,,,,,,,,,,,,,
MoPH,MOPH_1_2,?????????????????????????????????????????????????? ??????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Flood (???????); Heat (?????????????),,Public Health — ?????????,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,??????????: ???????????????? (??????????????????? ??.) - ??????????????????????????????,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,Historical; Projected,,,,,,,,,,,,,,,,
MoPH,MOPH_1_3,????????????????????????,Forward-looking,Vulnerability,SENSITIVITY,Drought (???????); Flood (???????); Heat (?????????????),,Human Settlement — ???????????,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????? (??????????????????? ??.); ?????????,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,Historical; Projected,,,,,,,,,,,,,,,,
MoPH,MOPH_1_4,?????????????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Heat (?????????????),,Human Settlement — ???????????,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????? (??????????????????? ??.) - ??????????????????,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,Historical; Projected,,,,,,,,,,,,,,,,
MoPH,MOPH_1_5,?????????????????????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Flood (???????); Heat (?????????????),,Human Settlement — ???????????; Public Health — ?????????,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????????????????? / ???????????????? (??????????????????????????????? ???.),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,Historical; Projected,,,,,,,,,,,,,,,,
MoPH,MOPH_1_6,??????????????????????????? (???????????????),Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Flood (???????); Heat (?????????????),,Public Health — ?????????,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????? (??????????????????? ??.) - ???????????????????????????,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,Historical; Projected,,,,,,,,,,,,,,,,
ONEP,ONEP_1_1,?????????????????????????????????????????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Heat (?????????????),,Natural Resources — ????????????????,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,????,Annual,National,Province,CSV,Restricted,-,-,??????????: ?????????????????????????????????????????????????? (??.) - ???????????????????????????????,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,Historical; Projected,,,,,,,,,,,,,,,,
ONEP,ONEP_1_2,??????????????????????????????????????????????????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Heat (?????????????),,Natural Resources — ????????????????,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,????,Annual,National,Province,CSV,Restricted,-,-,????????: ?????????????????????????????????????????????????? (??.) - ???????????????????,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,Historical; Projected,,,,,,,,,,,,,,,,
DBD,DBD_1_1,??????????????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Flood (???????); Heat (?????????????),Water — ???,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,????,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????????? / ????????????????????? (???????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
DDC,DDC_1_1,??????????????????????????????????????????,Forward-looking,Vulnerability,SENSITIVITY,Flood (???????),Public Health — ?????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????? / ???????????????? (???????????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
