asset_id,asset_title,asset_type,description,format_type,owner_division,owner_email,front_end_url,resource_url,source_catalog,source_group,data_category,update_frequency,objective,tags,geo_coverage,created_date,last_updated
"MED-061","โครงการศึกษาการกระจายตัวของสารไดออกซินและฟิวเเรนในอากาศ","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17886/","https://www.dcce.go.th/media/17886/?download_file=1&file_id=17884","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-062","คู่มือป่านิเวศ ฉบับประชาชน","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17690/","https://www.dcce.go.th/media/17690/?download_file=1&file_id=17688","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-063","คู่มือการให้บริการแนวทางปฏิบัติผู้บริการไดออกซิน ปี 2568","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17659/","https://www.dcce.go.th/media/17659/?download_file=1&file_id=17656","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-064","แนวทางปฏิบัติการจัดการของเสียจากอันตราย สำหรับการจัดการซากหลอดฟลูออเรสเซนต์","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17644/","https://heyzine.com/flip-book/4f76b77e4f.html?fbclid=IwY2xjawPSrYlleHRuA2FlbQIxMQBzcnRjBmFwcF9pZBAyMjIwMzkxNzg4MjAwODkyAAEeiUCDGx5vogOB7f2tH1kv7RSkqDEh62FpBHeXU1gHacFoM-xc_oxRGKwUzJM_aem_uG6Aj8O081GrsLjQCKUi9g#page/1","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-065","ไดออกซิน คืออะไร","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17622/","https://www.dcce.go.th/media/17622/?download_file=1&file_id=17616","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-066","ความรู้เบี้องต้นไดออกซินและสารก่อมะเร็งใกล้ตัวเรา","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17621/","https://www.dcce.go.th/media/17621/?download_file=1&file_id=17613","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-067","ชุดองค์ความรู้งานวิจัยด้านผลกระทบและการแก้ไขปัญหาหมอกควัน","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/17619/","https://www.dcce.go.th/media/17619/?download_file=1&file_id=17611","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-068","คู่มือความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ (Climate Risk Sourcebook)","Knowledge Asset","ผู้แต่ง: องค์กรความร่วมมือระหว่างประเทศของเยอรมัน(GIZ) | หน่วยงาน: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ | YouTube: https://www.youtube.com/watch?v=C1W_OnPzcE0","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/15960/","https://www.dcce.go.th/media/15960/?download_file=1&file_id=15962","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-069","หนังสือ ทสม. และเครือข่าย ทสม. ดีเด่น ประจำปี 2568","Knowledge Asset","Department of Climate Change and Environment ติดต่อ จันทร์-ศุกร์ เวลา 08.30 – 16.30 น.","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/15832/","https://www.dcce.go.th/media/15832/?download_file=1&file_id=20147","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-070","Climate Change A-Z Challenge Extreme Weather เมื่อ “สภาพภูมิอากาศสุดขั้ว” คือหายนะที่โลกกำลังเผชิญ! ภัยใกล้ตัวที่ทุกคนต้องรู้!","Knowledge Asset","รายละเอียด: โลกกำลังเผชิญกับความท้าทายครั้งใหญ่ที่เรียกว่า Extreme Weather หรือ สภาพภูมิอากาศสุดขั้ว ซึ่งเป็นความแปรปรวนของสภาพอากาศที่รุนแรงและเกิดขึ้นอย่างต่อเนื่อง จากผลกระทบของการเปลี่ยนแปลงสภาพภูมิอากาศ (Climate Change) Extreme Weather เกิดจากอะไร? แม้ความแปรปรวนตามธรรมชาติ (เช่น เอลนีโญ) จะมีส","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/15309/","https://www.dcce.go.th/media/15309/?download_file=1&file_id=15310","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
